ETC_name,WSP_name
GEN_MODES_VISITOR_10,general_modes_used_visitor_uber_lyft
GEN_MODES_VISITOR_11,general_modes_used_visitor_car_black
GEN_MODES_VISITOR_12,general_modes_used_visitor_dropped_off_by_family_friend
GEN_MODES_VISITOR_13,general_modes_used_visitor_drove_alone_and_parked
GEN_MODES_VISITOR_14,general_modes_used_visitor_drove_with_others_and_parked
GEN_MODES_VISITOR_15,general_modes_used_visitor_rode_with_other_travelers_and_parked
GEN_MODES_VISITOR_16,general_modes_used_visitor_coaster
GEN_MODES_VISITOR_17,general_modes_used_visitor_mts_red_trolley
GEN_MODES_VISITOR_18,general_modes_used_visitor_other_public_bus
GEN_MODES_VISITOR_19,general_modes_used_visitor_other_public_transit
GEN_MODES_VISITOR_22,general_modes_used_visitor_rental_car_dropped_off
GEN_MODES_VISITOR_23,general_modes_used_visitor_rental_car_parked
GEN_MODES_VISITOR_20,general_modes_used_visitor_chartered_tour_bus
GEN_MODES_VISITOR_24,general_modes_used_visitor_hotel_shuttle_van
GEN_MODES_VISITOR_21,general_modes_used_visitor_employee_shuttle
GEN_MODES_VISITOR_25,general_modes_used_visitor_other_shared_van
GEN_MODES_VISITOR_1,general_modes_used_visitor_walk
GEN_MODES_VISITOR_2,general_modes_used_visitor_wheelchair
GEN_MODES_VISITOR_3,general_modes_used_visitor_bicycle_electric_bikeshare
GEN_MODES_VISITOR_4,general_modes_used_visitor_bicycle_non_electric_bikeshare
GEN_MODES_VISITOR_6,general_modes_used_visitor_bicycle_personal_electric_bicycle
GEN_MODES_VISITOR_7,general_modes_used_visitor_bicycle_personal_non_electric_bicycle
GEN_MODES_VISITOR_5,general_modes_used_visitor_e_scooter_shared
GEN_MODES_VISITOR_8,general_modes_used_visitor_e_scooter_personal
NON_SDIA_FLIGHT_FREQ_Code_,non_sdia_flight_frequency
NON_SDIA_FLIGHT_FREQ,non_sdia_flight_frequency_label
AIR_ACCESS_TRANSIT_1_Code_,other_airport_accessmode
AIR_ACCESS_TRANSIT_1,other_airport_accessmode_label
AIR_ACCESS_TRANSIT_2_Code_,airport_access_transit_use_elsewhere
AIR_ACCESS_TRANSIT_2,airport_access_transit_use_elsewhere_label
AIR_ACCESS_NAME,airportaccesstransitname
HOME_ADDRESS_ADDR_,delete
HOME_ADDRESS_CITY_,home_location_city
HOME_ADDRESS_STATE_,home_location_state
HOME_ADDRESS_ZIP_,home_location_zip
HOME_ADDRESS_LAT_,home_location_latitude
HOME_ADDRESS_LONG_,home_location_longitude
REVERSE_COMMUTE_MODE_Code_,reverse_commute_mode
REVERSE_COMMUTE_MODE,reverse_commute_mode_label
REVERSE_COMMUTE_MODE_Other_,reverse_commute_mode_other
PAST_COMMUTE_MODES_Code_,same_commute_mode
PAST_COMMUTE_MODES,same_commute_mode_label
PAST_COMMUTE_MODES_Other_,same_commute_mode_other
ALT_COMMUTE_MODES_9,alt_commute_mode_taxi
ALT_COMMUTE_MODES_10,alt_commute_mode_uber_lyft
ALT_COMMUTE_MODES_11,alt_commute_mode_car_black
ALT_COMMUTE_MODES_12,alt_commute_mode_picked_by_family_friend
ALT_COMMUTE_MODES_13,alt_commute_mode_parked_vehicle_and_drive_alone
ALT_COMMUTE_MODES_14,alt_commute_mode_parked_vehicle_and_drive_with_others
ALT_COMMUTE_MODES_15,alt_commute_mode_parked_vehicle_and_ride_with_other_travelers
